# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin_0-contigs.fa	taxid assigned	based on 3545/4682 ORFs	1;131567;2;57723;533205;574975;574976;1951928;2052165*	1.00;0.99;0.97;0.92;0.83;0.83;0.83;0.77;0.77	Bacteria: 0.97	Acidobacteria: 0.92	Holophagae: 0.83	Holophagales: 0.83	Holophagaceae: 0.83	NA	Holophagaceae bacterium*: 0.77
Bin_1-contigs.fa	taxid assigned	based on 1/1 ORFs	1;131567;2;1783270;68336;976;117743;200644;49546;237;2201181	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Bacteroidetes: 1.00	Flavobacteriia: 1.00	Flavobacteriales: 1.00	Flavobacteriaceae: 1.00	Flavobacterium: 1.00	Flavobacterium sediminis: 1.00
Bin_10-contigs.fa	taxid assigned	based on 1357/1674 ORFs	1;131567;2;1224;1236	1.00;0.97;0.88;0.56;0.31	Bacteria: 0.88	Proteobacteria: 0.56	Gammaproteobacteria: 0.31	no support	no support	no support	no support
Bin_100-contigs.fa	taxid assigned	based on 1/2 ORFs	1;131567;2;1930617;1960893;2212469*	1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Calditrichaeota: 1.00	NA	NA	NA	NA	Calditrichaeota bacterium*: 1.00
Bin_101-contigs.fa	taxid assigned	based on 1196/1974 ORFs	1;131567;2;1783270	1.00;0.66;0.62;0.30	Bacteria: 0.62	no support	no support	no support	no support	no support	no support
Bin_102-contigs.fa	taxid assigned	based on 2942/3145 ORFs	1;131567;2;1783270;68336;976;1937959;1936988*	1.00;1.00;1.00;0.68;0.68;0.68;0.37;0.37	Bacteria: 1.00	Bacteroidetes: 0.68	Saprospiria: 0.37	Saprospirales*: 0.37	no support	no support	no support
Bin_103-contigs.fa	taxid assigned	based on 1850/1940 ORFs	1;131567;2;1783270;68336;976;768503;768507;89373;105	1.00;1.00;0.99;0.96;0.96;0.96;0.90;0.86;0.86;0.78	Bacteria: 0.99	Bacteroidetes: 0.96	Cytophagia: 0.90	Cytophagales: 0.86	Cytophagaceae: 0.86	Runella: 0.78	no support
Bin_104-contigs.fa	taxid assigned	based on 4238/4586 ORFs	1;131567;2;1224;28216	1.00;1.00;0.96;0.73;0.46	Bacteria: 0.96	Proteobacteria: 0.73	Betaproteobacteria: 0.46	no support	no support	no support	no support
Bin_105-contigs.fa	taxid assigned	based on 10858/11628 ORFs	1;131567;2;1783272;200795	1.00;1.00;0.99;0.90;0.89	Bacteria: 0.99	Chloroflexi: 0.89	no support	no support	no support	no support	no support
Bin_106-contigs.fa	taxid assigned	based on 522/943 ORFs	1;131567;2	1.00;0.68;0.55	Bacteria: 0.55	no support	no support	no support	no support	no support	no support
Bin_107-contigs.fa	taxid assigned	based on 1733/1764 ORFs	1;131567;2;1224	1.00;1.00;1.00;0.94	Bacteria: 1.00	Proteobacteria: 0.94	no support	no support	no support	no support	no support
