# bin	classification	reason	lineage	lineage scores	superkingdom	phylum	class	order	family	genus	species
Bin_0-contigs.fa	taxid assigned	based on 448/703 ORFs	1;131567;2;49928;1869227	1.00;0.79;0.74;0.37;0.37	Bacteria: 0.74	NA	NA	NA	NA	NA	bacterium: 0.37
Bin_1-contigs.fa	taxid assigned	based on 7/7 ORFs	1;131567;2;1783257;74201;414999;503183;1982316	1.00;1.00;1.00;0.80;0.80;0.79;0.79;0.72	Bacteria: 1.00	Verrucomicrobia: 0.80	Opitutae: 0.79	NA	NA	NA	Opitutae bacterium AMD-G1: 0.72
Bin_10-contigs.fa	taxid assigned	based on 58/74 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.49;0.49;0.49;0.49;0.49;0.49;0.44;0.44	Viruses: 0.49	Uroviricota: 0.49	Caudoviricetes: 0.49	Caudovirales: 0.49	NA	NA	uncultured Caudovirales phage: 0.44
Bin_100-contigs.fa	no taxid assigned	no hits to database
Bin_101-contigs.fa	taxid assigned	based on 2756/2891 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;0.99;0.80;0.78;0.75;0.37;0.36	Bacteria: 0.99	Actinobacteria: 0.78	Actinomycetia: 0.75	NA	NA	NA	Actinobacteria bacterium: 0.36
Bin_102-contigs.fa	taxid assigned	based on 4799/19449 ORFs	1;131567;2759;33090;3041;2692248;3166;2812636	1.00;0.99;0.89;0.82;0.77;0.76;0.61;0.61	Eukaryota: 0.89	Chlorophyta: 0.77	Chlorophyceae: 0.61	no support	no support	no support	no support
Bin_103-contigs.fa	taxid assigned	based on 4716/5090 ORFs	1;131567;2;1783270;68336;976;117743;200644;1853230;1986672;2026728	1.00;0.99;0.99;0.80;0.80;0.80;0.47;0.46;0.45;0.45;0.45	Bacteria: 0.99	Bacteroidetes: 0.80	Flavobacteriia: 0.47	Flavobacteriales: 0.46	Crocinitomicaceae: 0.45	NA	Crocinitomicaceae bacterium: 0.45
Bin_104-contigs.fa	taxid assigned	based on 291/390 ORFs	1;131567;2759;33090	1.00;0.93;0.44;0.33	Eukaryota: 0.44	no support	no support	no support	no support	no support	no support
Bin_105-contigs.fa	taxid assigned (1/2)	based on 42/161 ORFs	1;131567;2	1.00;0.92;0.34	Bacteria: 0.34	no support	no support	no support	no support	no support	no support
Bin_105-contigs.fa	taxid assigned (2/2)	based on 42/161 ORFs	1;131567;2759	1.00;0.92;0.48	Eukaryota: 0.48	no support	no support	no support	no support	no support	no support
Bin_106-contigs.fa	taxid assigned	based on 235/467 ORFs	1;131567;2;1783272;201174;1760	1.00;0.99;0.93;0.68;0.53;0.39	Bacteria: 0.93	Actinobacteria: 0.53	Actinomycetia: 0.39	no support	no support	no support	no support
Bin_107-contigs.fa	taxid assigned	based on 184/616 ORFs	1;131567;2;1224	1.00;0.87;0.79;0.41	Bacteria: 0.79	Proteobacteria: 0.41	no support	no support	no support	no support	no support
Bin_108-contigs.fa	taxid assigned	based on 669/1132 ORFs	1;131567;2	1.00;0.70;0.38	Bacteria: 0.38	no support	no support	no support	no support	no support	no support
Bin_109-contigs.fa	taxid assigned	based on 2399/2425 ORFs	1;131567;2;1224;28216;80840	1.00;1.00;1.00;0.97;0.96;0.89	Bacteria: 1.00	Proteobacteria: 0.97	Betaproteobacteria: 0.96	Burkholderiales: 0.89	no support	no support	no support
Bin_11-contigs.fa	taxid assigned	based on 8728/9420 ORFs	1;131567;2;1783270;68336;976	1.00;0.99;0.97;0.46;0.45;0.45	Bacteria: 0.97	Bacteroidetes: 0.45	no support	no support	no support	no support	no support
Bin_110-contigs.fa	taxid assigned	based on 898/1285 ORFs	1;131567;2	1.00;0.85;0.76	Bacteria: 0.76	no support	no support	no support	no support	no support	no support
Bin_111-contigs.fa	taxid assigned	based on 8662/8770 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;0.99;0.97;0.96;0.96	Bacteria: 0.99	Actinobacteria: 0.96	Actinomycetia: 0.96	no support	no support	no support	no support
Bin_112-contigs.fa	taxid assigned	based on 782/895 ORFs	1;131567;2;1783257;74201;203494;48461;203557;490346;2026800	1.00;0.99;0.98;0.83;0.79;0.42;0.41;0.35;0.32;0.32	Bacteria: 0.98	Verrucomicrobia: 0.79	Verrucomicrobiae: 0.42	Verrucomicrobiales: 0.41	Verrucomicrobiaceae: 0.35	NA	Verrucomicrobiaceae bacterium: 0.32
Bin_113-contigs.fa	taxid assigned	based on 25/35 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;1.00;0.72;0.72;0.72	Bacteria: 1.00	Bacteroidetes: 0.72	no support	no support	no support	no support	no support
Bin_114-contigs.fa	taxid assigned	based on 5/9 ORFs	1;131567;2;1783270;68336;976	1.00;1.00;1.00;0.74;0.74;0.74	Bacteria: 1.00	Bacteroidetes: 0.74	no support	no support	no support	no support	no support
Bin_115-contigs.fa	taxid assigned	based on 1335/1357 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;0.96;0.96;0.95;0.41;0.41	Bacteria: 1.00	Actinobacteria: 0.96	Actinomycetia: 0.95	NA	NA	NA	Actinobacteria bacterium: 0.41
Bin_116-contigs.fa	taxid assigned	based on 203/545 ORFs	1;131567;2	1.00;0.92;0.76	Bacteria: 0.76	no support	no support	no support	no support	no support	no support
Bin_117-contigs.fa	taxid assigned	based on 402/508 ORFs	1;131567;2	1.00;1.00;1.00	Bacteria: 1.00	no support	no support	no support	no support	no support	no support
Bin_118-contigs.fa	taxid assigned	based on 2812/5151 ORFs	1;131567;2	1.00;0.87;0.83	Bacteria: 0.83	no support	no support	no support	no support	no support	no support
Bin_119-contigs.fa	taxid assigned	based on 3507/3585 ORFs	1;131567;2;1783272;200795	1.00;1.00;1.00;0.67;0.65	Bacteria: 1.00	Chloroflexi: 0.65	no support	no support	no support	no support	no support
Bin_12-contigs.fa	taxid assigned	based on 2651/2715 ORFs	1;131567;2;1224;28216;80840;80864;665874;2626134;1907725	1.00;1.00;1.00;0.93;0.89;0.38;0.35;0.34;0.34;0.33	Bacteria: 1.00	Proteobacteria: 0.93	Betaproteobacteria: 0.89	Burkholderiales: 0.38	Comamonadaceae: 0.35	Limnohabitans: 0.34	Limnohabitans sp.: 0.33
Bin_120-contigs.fa	taxid assigned	based on 1162/1594 ORFs	1;131567;2	1.00;0.89;0.85	Bacteria: 0.85	no support	no support	no support	no support	no support	no support
Bin_121-contigs.fa	taxid assigned (1/2)	based on 60/112 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.49;0.49;0.49;0.49;0.49;0.49;0.49;0.49	Viruses: 0.49	Uroviricota: 0.49	Caudoviricetes: 0.49	Caudovirales: 0.49	NA	NA	uncultured Caudovirales phage: 0.49
Bin_121-contigs.fa	taxid assigned (2/2)	based on 60/112 ORFs	1;131567;2	1.00;0.46;0.44	Bacteria: 0.44	no support	no support	no support	no support	no support	no support
Bin_122-contigs.fa	taxid assigned	based on 1348/1368 ORFs	1;131567;2;1783272;201174;1760;52018;1883427	1.00;1.00;1.00;0.98;0.98;0.98;0.92;0.92	Bacteria: 1.00	Actinobacteria: 0.98	Actinomycetia: 0.98	NA	NA	NA	Actinobacteria bacterium: 0.92
Bin_123-contigs.fa	taxid assigned	based on 638/662 ORFs	1;131567;2759;3027;589350;2896;3030;233186	1.00;1.00;0.97;0.92;0.60;0.60;0.60;0.56	Eukaryota: 0.97	NA	Cryptophyceae: 0.92	Cryptomonadales: 0.60	Cryptomonadaceae: 0.60	Cryptomonas: 0.60	Cryptomonas curvata: 0.56
Bin_124-contigs.fa	taxid assigned	based on 33/53 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.85;0.83;0.83;0.83;0.83;0.83;0.82;0.82	Viruses: 0.85	Uroviricota: 0.83	Caudoviricetes: 0.83	Caudovirales: 0.83	NA	NA	uncultured Caudovirales phage: 0.82
Bin_125-contigs.fa	taxid assigned (1/2)	based on 1588/2194 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.41;0.39;0.39;0.39;0.39;0.39;0.35;0.35	Viruses: 0.41	Uroviricota: 0.39	Caudoviricetes: 0.39	Caudovirales: 0.39	NA	NA	uncultured Caudovirales phage: 0.35
Bin_125-contigs.fa	taxid assigned (2/2)	based on 1588/2194 ORFs	1;131567;2	1.00;0.42;0.42	Bacteria: 0.42	no support	no support	no support	no support	no support	no support
Bin_126-contigs.fa	taxid assigned	based on 5705/6013 ORFs	1;131567;2;1783272;201174;1760;52018	1.00;1.00;0.99;0.65;0.64;0.63;0.33	Bacteria: 0.99	Actinobacteria: 0.64	Actinomycetia: 0.63	no support	no support	no support	no support
Bin_127-contigs.fa	taxid assigned	based on 2962/2998 ORFs	1;131567;2;1224;28216;80840;119060;44013	1.00;1.00;0.99;0.86;0.86;0.54;0.54;0.50	Bacteria: 0.99	Proteobacteria: 0.86	Betaproteobacteria: 0.86	Burkholderiales: 0.54	Burkholderiaceae: 0.54	Polynucleobacter: 0.50	no support
Bin_128-contigs.fa	taxid assigned	based on 121/594 ORFs	1;131567;2;57723;305072;1978231	1.00;1.00;0.87;0.33;0.33;0.33	Bacteria: 0.87	Acidobacteria: 0.33	NA	NA	NA	NA	Acidobacteria bacterium: 0.33
Bin_129-contigs.fa	no taxid assigned	no hits to database
Bin_13-contigs.fa	taxid assigned	based on 2077/3000 ORFs	1;131567;2	1.00;0.84;0.81	Bacteria: 0.81	no support	no support	no support	no support	no support	no support
Bin_130-contigs.fa	no taxid assigned	no hits to database
Bin_131-contigs.fa	taxid assigned	based on 286/522 ORFs	1;131567;2	1.00;0.63;0.62	Bacteria: 0.62	no support	no support	no support	no support	no support	no support
Bin_132-contigs.fa	taxid assigned (1/2)	based on 311/476 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.37;0.37;0.37;0.37;0.37;0.37;0.31;0.31	Viruses: 0.37	Uroviricota: 0.37	Caudoviricetes: 0.37	Caudovirales: 0.37	NA	NA	uncultured Caudovirales phage: 0.31
Bin_132-contigs.fa	taxid assigned (2/2)	based on 311/476 ORFs	1;131567;2	1.00;0.48;0.47	Bacteria: 0.47	no support	no support	no support	no support	no support	no support
Bin_133-contigs.fa	taxid assigned	based on 1534/1588 ORFs	1;131567;2;1783272;201174	1.00;1.00;1.00;0.32;0.32	Bacteria: 1.00	Actinobacteria: 0.32	no support	no support	no support	no support	no support
Bin_134-contigs.fa	taxid assigned (1/2)	based on 2243/2711 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.47;0.47;0.47;0.47;0.47;0.47;0.46;0.46	Viruses: 0.47	Uroviricota: 0.47	Caudoviricetes: 0.47	Caudovirales: 0.47	NA	NA	uncultured Caudovirales phage: 0.46
Bin_134-contigs.fa	taxid assigned (2/2)	based on 2243/2711 ORFs	1;131567;2	1.00;0.33;0.32	Bacteria: 0.32	no support	no support	no support	no support	no support	no support
Bin_135-contigs.fa	taxid assigned	based on 80/295 ORFs	1;131567;2;1783270;68336;976;1853228;2448777;2448778*	1.00;1.00;0.85;0.55;0.55;0.55;0.53;0.53;0.53	Bacteria: 0.85	Bacteroidetes: 0.55	Chitinophagia: 0.53	NA	NA	NA	Chitinophagia bacterium*: 0.53
Bin_136-contigs.fa	taxid assigned	based on 4214/6174 ORFs	1;131567;2	1.00;0.67;0.49	Bacteria: 0.49	no support	no support	no support	no support	no support	no support
Bin_137-contigs.fa	no taxid assigned	no hits to database
Bin_138-contigs.fa	taxid assigned	based on 451/650 ORFs	1;10239;12429;2763270	1.00;0.57;0.40;0.37	Viruses: 0.57	NA	NA	NA	NA	NA	Virus NIOZ-UU159: 0.37
Bin_139-contigs.fa	taxid assigned	based on 61/76 ORFs	1;131567;2;1224;28216;80840	1.00;0.68;0.68;0.38;0.36;0.34	Bacteria: 0.68	Proteobacteria: 0.38	Betaproteobacteria: 0.36	Burkholderiales: 0.34	no support	no support	no support
Bin_14-contigs.fa	taxid assigned (1/2)	based on 2/5 ORFs	1;131567;2759;33154;33208;6072;33213;33317;2697495;2697496;10190;2816136;44578;231623;2631648;2762512	1.00;1.00;1.00;1.00;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64;0.64	Eukaryota: 1.00	Rotifera: 0.64	Eurotatoria: 0.64	NA	NA	Rotaria: 0.64	Rotaria sp. Silwood2: 0.64
Bin_14-contigs.fa	taxid assigned (2/2)	based on 2/5 ORFs	1;131567;2759;33154;4751;112252;1031332;2683658;276836;281847;988480*	1.00;1.00;1.00;1.00;0.36;0.36;0.36;0.36;0.36;0.36;0.36	Eukaryota: 1.00	Cryptomycota: 0.36	NA	NA	NA	Rozella: 0.36	Rozella allomycis: 0.36
Bin_140-contigs.fa	taxid assigned	based on 1/8 ORFs	1;131567;2;1783272;201174;1760	1.00;1.00;1.00;1.00;1.00;1.00	Bacteria: 1.00	Actinobacteria: 1.00	Actinomycetia: 1.00	no support	no support	no support	no support
Bin_141-contigs.fa	taxid assigned (1/2)	based on 1550/1977 ORFs	1;131567;2	1.00;0.52;0.50	Bacteria: 0.50	no support	no support	no support	no support	no support	no support
Bin_141-contigs.fa	taxid assigned (2/2)	based on 1550/1977 ORFs	1;10239	1.00;0.30	Viruses: 0.30	no support	no support	no support	no support	no support	no support
Bin_142-contigs.fa	taxid assigned	based on 1939/7561 ORFs	1;131567;2759;33090;3041;2692248;3166;2812636	1.00;1.00;0.91;0.84;0.79;0.77;0.63;0.63	Eukaryota: 0.91	Chlorophyta: 0.79	Chlorophyceae: 0.63	no support	no support	no support	no support
Bin_143-contigs.fa	taxid assigned	based on 1615/1648 ORFs	1;131567;2;1224;28216	1.00;0.98;0.97;0.62;0.52	Bacteria: 0.97	Proteobacteria: 0.62	Betaproteobacteria: 0.52	no support	no support	no support	no support
Bin_144-contigs.fa	taxid assigned	based on 1/21 ORFs	1;131567;2759;3027;589342;589343;55528;55529*;905079*	1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00	Eukaryota: 1.00	NA	Cryptophyceae: 1.00	Pyrenomonadales: 1.00	Geminigeraceae: 1.00	Guillardia: 1.00	Guillardia theta*: 1.00
Bin_145-contigs.fa	taxid assigned	based on 3124/3181 ORFs	1;131567;2;1224	1.00;1.00;0.99;0.91	Bacteria: 0.99	Proteobacteria: 0.91	no support	no support	no support	no support	no support
Bin_146-contigs.fa	taxid assigned (1/2)	based on 386/612 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.38;0.38;0.38;0.38;0.38;0.38;0.37;0.37	Viruses: 0.38	Uroviricota: 0.38	Caudoviricetes: 0.38	Caudovirales: 0.38	NA	NA	uncultured Caudovirales phage: 0.37
Bin_146-contigs.fa	taxid assigned (2/2)	based on 386/612 ORFs	1;131567;2;203691;1130380;2202144	1.00;0.58;0.56;0.42;0.42;0.42	Bacteria: 0.56	Spirochaetes: 0.42	NA	NA	NA	NA	Spirochaetes bacterium: 0.42
Bin_147-contigs.fa	taxid assigned	based on 26/31 ORFs	1;10239;2731341;2731360;2731618;2731619;28883;2100420;2100421	1.00;0.85;0.85;0.85;0.85;0.85;0.85;0.85;0.85	Viruses: 0.85	Uroviricota: 0.85	Caudoviricetes: 0.85	Caudovirales: 0.85	NA	NA	uncultured Caudovirales phage: 0.85
Bin_148-contigs.fa	taxid assigned	based on 728/974 ORFs	1;131567;2	1.00;0.92;0.89	Bacteria: 0.89	no support	no support	no support	no support	no support	no support
Bin_149-contigs.fa	taxid assigned (1/2)	based on 496/1296 ORFs	1;131567;2	1.00;0.46;0.36	Bacteria: 0.36	no support	no support	no support	no support	no support	no support
Bin_149-contigs.fa	taxid assigned (2/2)	based on 496/1296 ORFs	1;10239	1.00;0.33	Viruses: 0.33	no support	no support	no support	no support	no support	no support
Bin_15-contigs.fa	taxid assigned	based on 3055/3442 ORFs	1;131567;2;1783270;68336;976;117743;200644;1853230;1986672;2026728	1.00;0.98;0.90;0.82;0.82;0.82;0.76;0.75;0.72;0.71;0.71	Bacteria: 0.90	Bacteroidetes: 0.82	Flavobacteriia: 0.76	Flavobacteriales: 0.75	Crocinitomicaceae: 0.72	NA	Crocinitomicaceae bacterium: 0.71
Bin_150-contigs.fa	taxid assigned	based on 2363/2430 ORFs	1;131567;2;1783270;68336;976;1853228	1.00;1.00;1.00;0.94;0.94;0.94;0.32	Bacteria: 1.00	Bacteroidetes: 0.94	Chitinophagia: 0.32	no support	no support	no support	no support
